"id","property_name","logcat_tags","regex","wrapper_class_name","value_mapping"
"#ID","#属性名称","#Logcat标签","#正则表达式","#包装器类名","#值映射(原始值=映射值;原始值=映射值)"
"1","door_status_front_left","CarStatusProcessor","onChangeEvent\(\)\s+door_status_multi_door,\s+changed,\s+value\s*=\s*([\s\S]*)","DoorStatusMultiDoorWrapper",""
"2","door_status_front_right","CarStatusProcessor","onChangeEvent\(\)\s+door_status_multi_door,\s+changed,\s+value\s*=\s*([\s\S]*)","DoorStatusMultiDoorWrapper",""
"3","door_status_rear_left","CarStatusProcessor","onChangeEvent\(\)\s+door_status_multi_door,\s+changed,\s+value\s*=\s*([\s\S]*)","DoorStatusMultiDoorWrapper",""
"4","door_status_rear_right","CarStatusProcessor","onChangeEvent\(\)\s+door_status_multi_door,\s+changed,\s+value\s*=\s*([\s\S]*)","DoorStatusMultiDoorWrapper",""
"5","door_status_backdoor","CarStatusProcessor","onChangeEvent\(\)\s+door_status_backdoor,\s+changed,\s+value\s*=\s*([\s\S]*)","SimplePropertyLogWrapper",""
"6","door_degree_backdoor","CarStatusProcessor","onChangeEvent\(\)\s+door_degree_backdoor,\s+changed,\s+value\s*=\s*([\s\S]*)","SimplePropertyLogWrapper",""
"7","window_degree_front_left","CarStatusProcessor","onChangeEvent\(\)\s+window_degree_front_left,\s+changed,\s+value\s*=\s*([\s\S]*)","SimplePropertyLogWrapper",""
"8","window_degree_front_right","CarStatusProcessor","onChangeEvent\(\)\s+window_degree_front_right,\s+changed,\s+value\s*=\s*([\s\S]*)","SimplePropertyLogWrapper",""
"9","window_degree_back_left","CarStatusProcessor","onChangeEvent\(\)\s+window_degree_back_left,\s+changed,\s+value\s*=\s*([\s\S]*)","SimplePropertyLogWrapper",""
"10","window_degree_back_right","CarStatusProcessor","onChangeEvent\(\)\s+window_degree_back_right,\s+changed,\s+value\s*=\s*([\s\S]*)","SimplePropertyLogWrapper",""
"11","gear_position","CarStatusProcessor","onChangeEvent\(\)\s+gear_position,\s+changed,\s+value\s*=\s*([\s\S]*)","SimplePropertyLogWrapper",""
"12","VCU_2A1_VCUACCRPEDLPOSN","CarUtil","VCU_2A1_VCUACCRPEDLPOSN==([\s\S]*)","SimplePropertyLogWrapper",""
"14","brake_pedal_status","CarStatusProcessor","onChangeEvent\(\)\s+light_status_brake,\s+changed,\s+value\s*=\s*([\s\S]*)","SimplePropertyLogWrapper",""
"15","car_speed","CarStatusProcessor","onChangeEvent\(\)\s+car_speed,\s+changed,\s+value\s*=\s*([\s\S]*)","SimplePropertyLogWrapper",""
"16","light_status_turn_left","CarStatusProcessor","onChangeEvent\(\)\s+light_status_turn_left,\s+changed,\s+value\s*=\s*([\s\S]*)","BlinkingPropertyLogWrapper",""
"17","light_status_turn_right","CarStatusProcessor","onChangeEvent\(\)\s+light_status_turn_right,\s+changed,\s+value\s*=\s*([\s\S]*)","BlinkingPropertyLogWrapper",""
"18","tire_pressure_front_left","CarStatusProcessor","onChangeEvent\(\)\s+tire_pressure_front_left,\s+changed,\s+value\s*=\s*([\s\S]*)","SimplePropertyLogWrapper",""
"19","tire_pressure_front_right","CarStatusProcessor","onChangeEvent\(\)\s+tire_pressure_front_right,\s+changed,\s+value\s*=\s*([\s\S]*)","SimplePropertyLogWrapper",""
"20","tire_pressure_back_left","CarStatusProcessor","onChangeEvent\(\)\s+tire_pressure_back_left,\s+changed,\s+value\s*=\s*([\s\S]*)","SimplePropertyLogWrapper",""
"21","tire_pressure_back_right","CarStatusProcessor","onChangeEvent\(\)\s+tire_pressure_back_right,\s+changed,\s+value\s*=\s*([\s\S]*)","SimplePropertyLogWrapper",""
"22","sunshade_degree","CarStatusProcessor","onChangeEvent\(\)\s+sunshade_degree,\s+changed,\s+value\s*=\s*([\s\S]*)","SimplePropertyLogWrapper",""
"23","sunshade_status","CarStatusProcessor","onChangeEvent\(\)\s+sunshade_degree,\s+changed,\s+value\s*=\s*([\s\S]*)","SimplePropertyLogWrapper",""
"24","power_status","CarStatusProcessor","onChangeEvent\(\)\s+power_status,\s+changed,\s+value\s*=\s*([\s\S]*)","SimplePropertyLogWrapper",""
"25","seatbelt_status_front_left","MessageProperty","receive VehicleSeat/SeatBelt/FrontLeft, value : CarPropertyValue\{[\s\S]*?value=(\d+)","SimplePropertyLogWrapper",""
"26","seatbelt_status_front_right","","","SimplePropertyLogWrapper",""
"27","seat_occupied_front_left","MessageProperty","receive VehicleSeat/SeatOccupied/FrontLeft, value : CarPropertyValue\{[\s\S]*?value=(\d+)","SimplePropertyLogWrapper",""
"28","seat_occupied_front_right","MessageProperty","receive VehicleSeat/SeatOccupied/FrontRight, value : CarPropertyValue\{[\s\S]*?value=(\d+)","SimplePropertyLogWrapper",""
