"property_name","display_name","category","catalog","control_type","options","option_values","min_value","max_value","default_value","unit","step","unsupported_model_ids"
"#property_name","#显示名称","#属性分类","#所属目录","#控件类型","#选项列表(分号分隔)","#选项值映射(分号分隔，与options一一对应)","#最小值","#最大值","#默认值","#单位","#步长","#不支持的车型ID列表(分号分隔，如2;3)"
"door_status_front_left","主驾门","DOOR_STATUS","DOOR","BUTTON_GROUP","关闭;开启","0;1","0","1","0","","1",""
"door_status_front_right","副驾门","DOOR_STATUS","DOOR","BUTTON_GROUP","关闭;开启","0;1","0","1","0","","1",""
"door_status_rear_left","左后门","DOOR_STATUS","DOOR","BUTTON_GROUP","关闭;开启","0;1","0","1","0","","1",""
"door_status_rear_right","右后门","DOOR_STATUS","DOOR","BUTTON_GROUP","关闭;开启","0;1","0","1","0","","1",""
"door_status_backdoor","后备箱","DOOR_STATUS","DOOR","BUTTON_GROUP","关闭;开启","0;1","0","1","0","","1",""
"door_degree_backdoor","后备箱开启度","DOOR_DEGREE","DOOR","SLIDER","","","0","100","0","%","1",""
"seatbelt_status_front_left","主驾安全带","BOOLEAN","COMFORT","BUTTON_GROUP","未系;系上","0;1","0","1","0","","1",""
"#seatbelt_status_front_right","副驾安全带","BOOLEAN","COMFORT","BUTTON_GROUP","未系;系上","0;1","0","1","0","","1",""
"seat_occupied_front_left","主驾状态","BOOLEAN","COMFORT","BUTTON_GROUP","无人;有人","0;1","0","1","0","","1",""
"seat_occupied_front_right","副驾状态","BOOLEAN","COMFORT","BUTTON_GROUP","无人;有人","0;1","0","1","0","","1",""
"gear_position","档位","GEAR_POSITION","DRIVING","BUTTON_GROUP","P档;R档;N档;D档;S档","0;1;2;3;4","0","4","0","","1",""
"VCU_2A1_VCUACCRPEDLPOSN","加速踏板","PERCENTAGE","DRIVING","SLIDER","","","0","100","0","%","1",""
"brake_pedal_status","刹车踏板","BOOLEAN","DRIVING","BUTTON_GROUP","关闭;开启","0;1","0","1","0","","1",""
"car_speed","车速","SPEED","DRIVING","SLIDER","","","0","200","0","km/h","1",""
"window_degree_front_left","主驾车窗","WINDOW_DEGREE","WINDOW","SLIDER","","","0","100","0","%","1",""
"window_degree_front_right","副驾车窗","WINDOW_DEGREE","WINDOW","SLIDER","","","0","100","0","%","1",""
"window_degree_back_left","左后车窗","WINDOW_DEGREE","WINDOW","SLIDER","","","0","100","0","%","1",""
"window_degree_back_right","右后车窗","WINDOW_DEGREE","WINDOW","SLIDER","","","0","100","0","%","1",""
"light_status_turn_left","左转向灯","BOOLEAN","LIGHT","BUTTON_GROUP","关闭;开启","0;1","0","1","0","","1",""
"light_status_turn_right","右转向灯","BOOLEAN","LIGHT","BUTTON_GROUP","关闭;开启","0;1","0","1","0","","1",""
"tire_pressure_front_left","左前胎压","PRESSURE","PRESSURE","SLIDER","","","0","10","2.5","bar","0.1",""
"tire_pressure_front_right","右前胎压","PRESSURE","PRESSURE","SLIDER","","","0","10","2.5","bar","0.1",""
"tire_pressure_back_left","左后胎压","PRESSURE","PRESSURE","SLIDER","","","0","10","2.5","bar","0.1",""
"tire_pressure_back_right","右后胎压","PRESSURE","PRESSURE","SLIDER","","","0","10","2.5","bar","0.1",""
"sunshade_status","遮阳帘状态","BOOLEAN","COMFORT","BUTTON_GROUP","关闭;开启","0;1","0","1","0","","1",""
"sunshade_degree","遮阳帘开启度","PERCENTAGE","COMFORT","SLIDER","","","0","100","0","%","1",""
"power_status","电源状态","BOOLEAN","SYSTEM","BUTTON_GROUP","关闭;开启","0;1","0","1","0","","1",""
"lock_status","锁车状态","BOOLEAN","SYSTEM","BUTTON_GROUP","闭锁;解锁","0;1","0","1","0","","1","1"
"test_prop","测试勿用","WINDOW_DEGREE","SYSTEM","SLIDER","","","0","100","","","1",""
