"id","title","path","tab"
"#id","名称","音频路径","标签"
"1001","让让我吧","让让我吧.wav","FunBox_VoiceTabSystem"
"1002","请排队","请排队.wav","FunBox_VoiceTabSystem"
"1003","快点走吧","快点走吧.wav","FunBox_VoiceTabSystem"
"1004","关闭远光灯","关闭远光灯.wav","FunBox_VoiceTabSystem"
"1005","遛弯请去慢车道","遛弯请去慢车道.wav","FunBox_VoiceTabSystem"
"1006","速度提起来","速度提起来.wav","FunBox_VoiceTabSystem"
"1007","开快点","开快点.wav","FunBox_VoiceTabSystem"
"1008","别催我","别催我.wav","FunBox_VoiceTabSystem"
"1009","你礼貌吗","你礼貌吗.wav","FunBox_VoiceTabSystem"
"1010","人太好了","人太好了.wav","FunBox_VoiceTabSystem"
"1011","车坏了","车坏了.wav","FunBox_VoiceTabSystem"
"2001","下车注意行人","下车注意行人.wav","FunBox_VoiceTabBlock"
"2002","注意车辆","注意车辆.wav","FunBox_VoiceTabBlock"
"2003","倒车请注意","倒车请注意.wav","FunBox_VoiceTabBlock"
"2004","转弯请注意","转弯请注意.wav","FunBox_VoiceTabBlock"
"2005","系好安全带","系好安全带.wav","FunBox_VoiceTabBlock"
"2006","系好安全带出发","系好安全带出发.wav","FunBox_VoiceTabBlock"
"2007","出发喽","出发喽.wav","FunBox_VoiceTabBlock"
"2008","开窗有点闷","开窗有点闷.wav","FunBox_VoiceTabBlock"
"2009","车速太快","车速太快.wav","FunBox_VoiceTabBlock"
"2010","好伙伴加速","好伙伴加速.wav","FunBox_VoiceTabBlock"
"2011","主人您来了","主人您来了.wav","FunBox_VoiceTabBlock"
"2012","恭候很久了","恭候很久了.wav","FunBox_VoiceTabBlock"
"2013","快上车","快上车.wav","FunBox_VoiceTabBlock"
"2014","坐稳了探险了","坐稳了探险了.wav","FunBox_VoiceTabBlock"
"2015","辛苦一天了","辛苦一天了.wav","FunBox_VoiceTabBlock"
"2016","空档请注意","空档请注意.wav","FunBox_VoiceTabBlock"
"2017","后备箱开启","后备箱开启.wav","FunBox_VoiceTabBlock"
"2018","后备箱关闭","后备箱关闭.wav","FunBox_VoiceTabBlock"
